x,y,z
1.5,1.5,0.0
1.5,1.5,0.002
1.5,1.5,0.004
1.5,1.5,0.006
1.5,1.5,0.008
1.5,1.5,0.01
1.5,1.5,0.012
1.5,1.5,0.014
1.5,1.5,0.016
1.5,1.5,0.018
1.5,1.5,0.02
1.5,1.5,0.022
1.5,1.5,0.024
1.5,1.5,0.026
1.5,1.5,0.028
1.5,1.5,0.03
1.5,1.5,0.032
1.5,1.5,0.034
1.5,1.5,0.036
1.5,1.5,0.038
1.5,1.5,0.04
1.5,1.5,0.042
1.5,1.5,0.044
1.5,1.5,0.046
1.5,1.5,0.048
1.5,1.5,0.05
1.5,1.5,0.052
1.5,1.5,0.054
1.5,1.5,0.056
1.5,1.5,0.058
1.5,1.5,0.06
1.5,1.5,0.062
1.5,1.5,0.064
1.5,1.5,0.066
1.5,1.5,0.068
1.5,1.5,0.07
1.5,1.5,0.072
1.5,1.5,0.074
1.5,1.5,0.076
1.5,1.5,0.078
1.5,1.5,0.08
1.5,1.5,0.082
1.5,1.5,0.084
1.5,1.5,0.086
1.5,1.5,0.088
1.5,1.5,0.09
1.5,1.5,0.092
1.5,1.5,0.094
1.5,1.5,0.096
1.5,1.5,0.098
1.5,1.5,0.1
1.5,1.5,0.102
1.5,1.5,0.104
1.5,1.5,0.106
1.5,1.5,0.108
1.5,1.5,0.11
1.5,1.5,0.112
1.5,1.5,0.114
1.5,1.5,0.116
1.5,1.5,0.118
1.5,1.5,0.12
1.5,1.5,0.122
1.5,1.5,0.124
1.5,1.5,0.126
1.5,1.5,0.128
1.5,1.5,0.13
1.5,1.5,0.132
1.5,1.5,0.134
1.5,1.5,0.136
1.5,1.5,0.138
1.5,1.5,0.14
1.5,1.5,0.142
1.5,1.5,0.144
1.5,1.5,0.146
1.5,1.5,0.148
1.5,1.5,0.15
1.5,1.5,0.152
1.5,1.5,0.154
1.5,1.5,0.156
1.5,1.5,0.158
1.5,1.5,0.16
1.5,1.5,0.162
1.5,1.5,0.164
1.5,1.5,0.166
1.5,1.5,0.168
1.5,1.5,0.17
1.5,1.5,0.172
1.5,1.5,0.174
